shadow_id,symbol,side,entry,sl,tp,size,confidence,result,r_multiple,bars_held,exit_price
1,LTCUSDT,short,54.03,54.21475046537808,53.55,541.2706257348595,62,win,2.139088161477421,40,53.55
2,WLDUSDT,long,0.4045,0.39941394657717455,0.4127,19638.62169315979,62,loss,-1.0,20,0.39941394657717455
3,BTCUSDT,short,77141.0,77295.76182164876,76826.9,0.653119633396021,68,win,1.3905553377678626,6,76826.9
4,ETHUSDT,short,2518.82,2523.813297643866,2508.79,20.202393344644733,62,win,1.2857647381052852,4,2508.79
5,ENAUSDT,long,0.1418,0.13826481599537105,0.14878,29350.15991656111,62,loss,-1.0,11,0.13826481599537105
6,ETHUSDT,short,2401.59,2450.0652769847607,2328.877084522859,2.1172570531002,65,timeout,0.0706409559372685,48,2397.49
7,BTCUSDT,long,76798.0,76296.91238777865,77549.63141833202,0.20488917975027585,55,loss,-1.0,6,76296.91238777865
8,ETHUSDT,long,2454.42,2432.170124856004,2487.7948127159943,4.611460746421127,60,loss,-1.0,6,2432.170124856004
9,DOGEUSDT,long,0.08127,0.08066209938216733,0.08248,168710.256248844,55,loss,-1.0,6,0.08066209938216733
10,LTCUSDT,long,55.46,54.804031334896216,56.44395299765568,150.42918234459137,60,win,1.0152308748637868,16,56.44395299765568
11,TAOUSDT,long,252.2,248.1176964626863,258.3234553059705,24.459764521380063,62,win,1.4781132460461284,12,258.3234553059705
12,BTCUSDT,long,81231.7,80777.07892529806,81913.63161205291,0.2195839793720594,65,timeout,-0.10013212061497506,48,81232.0
13,BNBUSDT,long,763.25,757.8244742102842,771.3882886845738,18.656219659409008,65,win,1.4993389486051236,34,771.3882886845738
14,BNBUSDT,long,792.5,786.0770857717279,802.1343713424083,15.949271571148527,65,win,1.093630453048128,4,802.1343713424083
15,BNBUSDT,long,787.22,782.0415863761988,800.59,20.02095134613872,62,loss,-1.0,23,782.0415863761988
16,ZECUSDT,long,1637.18,1606.4968836515357,1683.2046745226967,3.339280688367831,65,loss,-1.0,12,1606.4968836515357
17,LINKUSDT,long,14.185,13.918854643260465,14.584218035109304,380.86307444769096,60,,,,
